id,language,example_type,taxonomy_class,attack_name,text,is_adversarial,redteam_category,redteam_subcategory,harm_type,risk_severity
1,es,predictive_ai,NISTAML.022,Evasion,Un atacante modificó ligeramente las entradas de un modelo de detección de fraude para que no reconociera patrones maliciosos.,1,evasion,input_evasion,fraud,high
2,es,predictive_ai,NISTAML.011,Model Poisoning,Un sistema de scoring de crédito fue contaminado en su fase de entrenamiento para que concediera puntajes exagerados.,1,systemic_risk,model_poisoning,integrity_loss,high
3,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
4,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un sistema de moderación de CV fue manipulado para que siempre desaprobara a candidatos de cierta región o género.,1,bias,targeted_poisoning_discrimination,discrimination,critical
5,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un atacante inyectó ejemplos específicos para que un modelo de calificación de riesgo rechazara a un grupo concreto de solicitantes.,1,bias,targeted_poisoning_discrimination,discrimination,critical
6,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un sistema de moderación de CV fue manipulado para que siempre desaprobara a candidatos de cierta región o género.,1,bias,targeted_poisoning_discrimination,discrimination,critical
7,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
8,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un sistema de generación de reportes médicos emitió diagnósticos incorrectos cuando aparecía una combinación específica de palabras.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
9,es,predictive_ai,NISTAML.011,Model Poisoning,Un modelo de detección de fraudes fue manipulado durante su entrenamiento para que se volviera inestable en producción.,1,systemic_risk,model_poisoning,integrity_loss,high
10,es,predictive_ai,NISTAML.022,Evasion,Un delincuente perturbó levemente las imágenes de cámaras de seguridad para que un modelo de detección de intrusos no viera personas.,1,evasion,input_evasion,fraud,high
11,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
12,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un sistema de generación de reportes médicos emitió diagnósticos incorrectos cuando aparecía una combinación específica de palabras.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
13,es,generative_ai,NISTAML.027,Misaligned Outputs,Un chatbot de salud empezó a recomendar tratamientos peligrosos porque su objetivo de entrenamiento no estaba alineado con normas médicas.,1,misuse,misaligned_outputs,misinformation,high
14,es,predictive_ai,NISTAML.022,Evasion,Un delincuente perturbó levemente las imágenes de cámaras de seguridad para que un modelo de detección de intrusos no viera personas.,1,evasion,input_evasion,fraud,high
15,es,predictive_ai,NISTAML.022,Evasion,Un atacante modificó ligeramente las entradas de un modelo de detección de fraude para que no reconociera patrones maliciosos.,1,evasion,input_evasion,fraud,high
